temperature,humidity,motion,gas,aqi,risk
40.19,80.36,0,23.05,6.11,Warning
16.2,29.49,0,449.83,348.78,Warning
36.6,46.09,1,396.45,340.67,Danger
28.83,68.4,1,73.4,73.19,Safe
43.87,49.53,0,568.18,466.21,Danger
16.25,53.73,1,302.58,264.42,Warning
37.16,37.73,0,518.18,403.46,Danger
20.04,31.38,0,79.98,40.75,Safe
20.95,74.96,0,406.7,345.13,Danger
36.11,67.59,1,448.43,380.54,Danger
32.57,8.38,0,100.12,86.53,Safe
38.56,40.07,1,218.82,183.13,Warning
23.89,12.29,0,92.43,40.1,Safe
27.01,48.21,0,33.26,23.09,Safe
17.21,68.94,0,604.68,462.16,Danger
33.55,25.57,1,54.87,16.13,Safe
27.65,76.44,1,162.34,139.86,Warning
24.4,33.75,1,197.34,118.56,Safe
34.52,86.54,0,329.59,275.77,Danger
44.08,75.57,0,337.99,232.85,Danger
31.78,26.1,0,573.92,452.87,Danger
23.06,90.18,0,471.86,363.1,Danger
26.41,6.33,0,455.75,343.74,Warning
43.15,68.31,0,589.79,454.96,Danger
24.87,37.99,0,160.21,93.48,Safe
16.41,30.56,0,65.93,31.98,Safe
19.83,90.45,0,474.87,353.48,Danger
31.5,58.37,0,190.21,190.81,Warning
26.81,94.29,1,106.71,42.54,Safe
29.9,25.34,0,147.03,127.43,Warning
37.43,72.84,0,267.07,218.93,Danger
29.29,75.63,0,83.89,56.98,Safe
40.28,84.46,1,628.67,475.07,Danger
16.63,47.58,0,537.5,448.43,Warning
34.34,42.97,0,312.87,213.42,Danger
15.68,87.52,0,48.75,30.07,Safe
13.85,26.93,0,93.9,25.4,Safe
14.22,15.81,0,104.69,81.68,Safe
11.49,10.78,0,435.35,396.53,Warning
39.39,45.08,0,491.39,371.1,Danger
15.27,32.14,0,344.42,282.66,Warning
14.92,12.4,0,358.32,284.37,Warning
18.02,48.16,0,192.67,116.06,Warning
35.64,65.25,0,542.84,460.77,Danger
16.61,73.97,0,36.09,5.55,Safe
30.77,63.09,0,129.64,99.0,Safe
15.41,15.64,1,493.65,383.2,Warning
27.14,88.54,0,331.38,238.22,Danger
34.91,86.95,0,572.85,465.71,Danger
24.05,22.66,0,636.53,492.82,Warning
13.65,34.59,0,126.33,130.61,Safe
20.1,80.57,0,578.38,485.18,Danger
32.79,71.08,0,583.57,448.59,Danger
37.02,90.15,1,385.63,317.86,Danger
10.11,6.73,0,353.1,278.87,Warning
34.47,91.07,1,101.18,49.33,Warning
40.78,76.67,0,294.63,203.14,Danger
15.63,69.83,0,86.55,55.45,Safe
18.47,94.98,0,53.3,5.24,Safe
25.6,90.45,0,407.82,306.85,Danger
22.05,40.45,1,359.38,295.39,Warning
28.06,1.59,0,241.37,190.05,Warning
39.63,2.8,0,167.09,141.1,Warning
33.04,90.13,0,417.59,327.02,Danger
28.54,23.82,0,337.15,246.01,Warning
13.36,53.73,0,42.16,66.01,Safe
21.35,7.26,0,21.59,24.1,Safe
10.09,45.05,0,397.84,296.91,Warning
40.24,36.96,0,600.62,485.22,Danger
11.49,46.1,0,117.39,83.99,Safe
40.71,5.24,1,120.97,79.6,Safe
43.71,61.61,0,299.35,209.35,Danger
41.39,28.96,1,89.2,24.84,Safe
41.71,34.94,1,440.33,363.69,Danger
24.1,59.79,1,378.63,286.39,Warning
11.86,50.2,1,128.72,117.89,Safe
35.92,15.76,1,545.92,459.93,Danger
36.19,29.89,1,480.74,350.75,Danger
29.27,63.75,0,256.34,223.32,Warning
18.29,59.07,1,185.33,140.35,Safe
43.33,91.96,0,313.38,254.18,Danger
41.61,63.61,0,27.61,0.09,Warning
12.73,23.3,0,118.49,96.28,Safe
26.58,45.7,0,397.8,303.13,Warning
26.57,3.45,0,128.5,93.66,Safe
30.98,2.4,1,633.44,492.69,Warning
33.23,44.9,0,134.08,71.01,Safe
39.37,9.88,0,339.09,259.92,Danger
39.2,44.93,0,610.52,497.92,Danger
29.64,88.9,0,178.38,174.79,Danger
10.3,35.53,0,242.81,186.94,Warning
32.44,31.3,1,107.66,68.67,Safe
42.98,22.56,0,105.27,41.09,Warning
16.13,91.33,0,429.34,362.26,Danger
42.77,21.72,0,233.38,177.67,Danger
21.22,30.18,0,95.0,71.63,Safe
12.48,33.85,0,46.13,15.14,Safe
13.49,62.03,0,129.81,111.01,Safe
40.82,57.66,1,534.14,444.11,Danger
15.7,56.0,1,182.26,164.05,Warning
18.88,1.62,0,508.37,394.26,Warning
41.87,33.15,1,117.26,107.81,Warning
29.76,92.79,0,90.64,62.49,Safe
10.29,41.75,1,84.35,60.34,Safe
43.51,60.21,0,164.41,108.02,Warning
17.09,77.99,0,373.11,292.35,Danger
26.72,36.13,0,431.3,348.5,Warning
41.64,54.56,0,495.95,417.3,Danger
34.37,5.86,0,597.74,471.23,Danger
18.64,88.33,1,37.13,27.66,Safe
37.41,48.09,0,158.66,112.83,Warning
33.53,41.17,0,566.41,444.5,Danger
24.52,30.35,0,11.09,11.02,Safe
39.2,7.05,0,572.89,481.68,Danger
12.5,16.2,0,143.33,114.11,Warning
35.64,60.38,1,148.83,77.06,Warning
24.23,54.26,0,123.18,62.53,Safe
29.79,29.44,1,511.76,386.15,Warning
27.64,38.47,1,594.59,489.75,Warning
15.36,16.47,1,253.87,161.33,Warning
26.57,5.41,1,527.4,434.01,Warning
33.9,80.3,0,274.02,182.22,Danger
15.38,32.26,1,68.46,25.43,Safe
33.42,54.69,1,42.64,67.68,Safe
27.61,34.88,0,426.21,353.11,Warning
27.11,12.23,1,240.03,174.32,Warning
44.59,75.78,1,94.05,33.07,Warning
10.64,51.9,0,166.46,124.33,Warning
44.17,13.79,1,226.0,192.18,Danger
40.19,57.68,1,150.16,106.48,Warning
30.92,12.04,1,488.96,366.71,Warning
15.66,39.77,0,329.44,230.55,Warning
18.35,39.58,0,448.16,335.85,Warning
44.46,58.09,0,440.62,351.63,Danger
30.25,60.71,0,56.72,44.72,Safe
35.74,38.04,0,220.24,156.45,Danger
18.74,92.33,1,254.93,221.57,Danger
10.61,29.47,0,156.72,79.74,Safe
21.83,67.86,1,226.16,150.09,Warning
20.49,50.1,0,539.52,406.96,Warning
33.39,76.43,1,289.01,206.2,Danger
19.93,87.96,1,176.88,132.25,Warning
21.65,12.61,1,269.71,203.94,Warning
32.99,2.62,0,431.43,307.79,Danger
20.69,90.67,0,108.16,119.31,Warning
14.8,77.35,0,448.32,376.58,Danger
16.16,24.86,0,281.76,200.28,Warning
34.31,49.66,0,4.75,8.54,Safe
37.68,66.89,0,637.85,480.79,Danger
32.68,26.08,0,99.34,30.13,Safe
13.22,98.82,0,120.94,56.21,Safe
12.77,79.33,0,443.51,363.68,Danger
37.02,59.22,1,204.82,138.62,Warning
42.24,44.58,1,0.0,2.65,Safe
23.13,21.97,0,70.89,9.81,Safe
28.34,2.04,1,343.55,303.08,Warning
43.79,41.02,0,150.37,137.16,Warning
20.95,9.01,1,45.89,39.74,Safe
44.12,10.89,0,315.26,255.13,Danger
22.53,90.37,0,21.53,0.61,Safe
13.34,54.04,1,112.62,89.0,Safe
22.33,54.25,1,312.97,261.58,Warning
26.58,94.64,0,124.45,76.23,Safe
13.5,67.51,0,213.74,167.98,Warning
17.97,92.11,0,496.15,398.9,Danger
39.26,8.2,1,104.91,93.18,Safe
14.5,41.33,1,23.87,1.36,Safe
29.7,18.37,0,426.35,342.83,Warning
27.19,90.23,0,187.55,146.69,Warning
36.37,83.98,0,206.81,180.86,Danger
17.14,91.0,0,386.77,276.77,Danger
20.35,87.33,0,175.86,153.52,Danger
23.0,98.17,1,340.28,264.82,Danger
42.7,46.65,1,352.74,271.4,Danger
12.27,49.41,0,98.85,29.04,Safe
23.2,12.61,0,94.73,26.53,Safe
31.13,12.1,0,109.74,48.43,Safe
35.16,54.64,0,638.97,494.89,Danger
17.46,99.47,0,569.96,458.47,Danger
15.66,84.5,1,411.96,327.17,Danger
10.0,81.54,0,494.43,423.97,Danger
25.49,8.29,1,51.2,36.59,Safe
18.61,47.96,1,83.59,53.21,Safe
23.38,55.65,0,168.54,146.31,Warning
38.8,36.13,1,50.35,48.99,Safe
13.55,14.84,1,27.47,9.65,Safe
23.73,1.41,0,364.57,310.72,Warning
11.58,21.79,1,36.15,37.62,Safe
32.58,50.06,0,457.61,387.42,Danger
16.45,74.59,0,101.79,86.5,Safe
21.26,66.13,1,234.75,183.11,Warning
12.52,86.18,0,79.35,21.15,Safe
18.61,23.93,1,121.68,68.81,Safe
15.43,73.68,1,134.08,59.34,Safe
36.25,42.77,0,591.65,444.28,Danger
14.35,56.84,0,214.61,160.49,Warning
44.26,41.24,1,8.26,16.14,Safe
37.67,88.87,1,420.54,323.02,Danger
41.93,76.68,0,345.7,276.45,Danger
30.07,37.7,1,149.52,74.41,Safe
14.75,49.43,1,632.68,498.07,Warning
44.31,7.88,1,543.26,463.72,Danger
19.23,93.07,1,517.32,393.98,Danger
39.6,12.66,1,79.6,52.57,Safe
16.49,1.87,1,556.78,428.41,Warning
29.06,97.78,0,209.98,179.34,Danger
28.01,72.39,1,238.88,200.19,Warning
34.31,25.25,0,135.11,94.42,Safe
25.3,93.2,0,39.19,70.64,Safe
12.54,53.9,0,124.74,59.13,Safe
31.82,51.43,0,72.34,69.66,Safe
17.37,59.37,1,273.76,233.31,Warning
40.74,6.54,1,86.99,72.22,Safe
22.49,1.75,0,208.36,162.32,Warning
15.27,82.44,0,153.74,144.49,Warning
20.51,65.21,0,28.56,19.36,Safe
24.76,47.68,1,507.91,421.11,Warning
35.1,37.09,1,181.18,116.9,Warning
26.11,55.96,0,36.76,24.73,Safe
27.91,81.08,0,110.79,70.17,Safe
28.71,31.53,1,184.81,140.89,Safe
26.7,0.05,0,79.92,68.54,Safe
30.83,47.64,0,246.04,193.44,Danger
39.29,43.18,1,536.65,399.64,Danger
30.36,36.81,0,567.05,449.29,Danger
14.42,7.33,1,36.93,39.62,Safe
15.8,76.69,0,76.18,35.44,Safe
29.83,82.3,1,80.77,70.72,Safe
32.96,0.55,1,469.59,375.48,Warning
16.2,18.11,0,125.84,106.27,Safe
10.99,4.55,0,431.23,320.73,Warning
25.36,80.81,0,64.73,3.27,Safe
35.71,98.92,0,160.65,105.34,Danger
43.4,35.97,0,367.25,291.89,Danger
17.19,51.83,0,13.34,28.52,Safe
43.9,10.66,1,154.27,82.19,Warning
22.0,78.33,1,82.88,77.67,Safe
29.33,30.52,0,114.48,58.22,Safe
20.35,30.13,0,475.17,386.94,Warning
29.72,44.3,0,259.01,222.46,Warning
25.87,33.67,0,602.63,454.17,Warning
27.21,97.37,0,228.73,138.99,Danger
11.59,34.45,1,28.78,31.88,Safe
22.3,61.87,0,82.11,41.17,Safe
15.94,96.28,0,69.22,55.68,Safe
25.13,2.15,0,331.35,287.37,Warning
23.54,56.17,0,221.78,130.89,Warning
16.46,46.82,0,111.88,98.6,Safe
38.09,0.34,0,322.87,279.26,Danger
10.4,2.73,0,386.36,332.44,Warning
27.06,10.75,0,41.77,21.09,Safe
13.84,10.79,0,59.08,10.58,Safe
37.76,4.67,1,89.3,60.46,Safe
16.48,8.82,0,97.42,28.29,Safe
12.41,13.49,0,244.49,150.05,Warning
20.98,79.39,1,302.17,282.95,Warning
16.1,18.15,1,224.97,189.42,Warning
42.74,83.88,0,288.94,241.47,Danger
28.87,38.07,0,53.01,54.22,Safe
13.18,80.54,0,332.14,270.25,Danger
13.7,57.5,1,125.04,55.22,Safe
41.41,89.84,0,343.51,295.74,Danger
34.14,58.94,0,126.43,65.2,Safe
41.95,24.25,0,558.66,413.91,Danger
13.77,27.36,1,163.6,137.97,Safe
18.14,75.94,0,81.52,53.5,Safe
21.9,68.3,0,548.39,422.77,Danger
17.86,76.05,0,66.9,40.13,Safe
36.55,46.77,0,629.3,485.78,Danger
15.4,42.16,0,601.89,460.75,Warning
22.12,74.2,1,489.17,364.46,Warning
14.52,98.51,0,99.27,43.77,Safe
26.57,16.81,1,484.29,391.68,Warning
12.28,25.82,0,294.67,192.59,Warning
26.53,52.39,0,95.63,32.6,Safe
18.18,61.02,1,53.61,54.57,Safe
16.35,79.97,1,575.9,426.13,Warning
27.65,90.81,1,26.73,31.65,Safe
43.79,38.33,0,8.76,18.86,Warning
31.19,48.82,0,128.79,80.7,Safe
36.0,80.88,1,255.91,206.45,Danger
36.31,72.57,1,566.89,486.93,Danger
32.46,39.6,1,113.87,77.49,Safe
26.36,11.45,0,3.94,10.55,Safe
37.99,35.99,0,138.75,127.64,Warning
16.42,82.88,0,148.18,78.79,Warning
16.37,94.85,1,260.12,225.33,Danger
31.64,84.32,0,484.44,375.55,Danger
39.16,65.68,0,116.1,102.56,Warning
41.66,83.16,0,393.06,324.35,Danger
34.87,56.77,1,63.3,27.1,Safe
17.38,37.24,0,530.7,408.19,Warning
20.04,19.65,0,5.2,5.01,Safe
25.58,67.69,0,276.75,176.47,Danger
11.63,78.08,0,69.58,65.84,Safe
16.27,2.96,0,138.6,90.09,Safe
10.83,48.08,0,486.4,363.02,Warning
33.43,54.13,0,252.45,169.77,Danger
23.59,6.0,1,444.26,380.25,Warning
24.78,2.09,0,363.34,344.09,Warning
43.03,7.57,1,40.34,31.06,Safe
26.09,33.17,0,87.35,29.3,Safe
15.04,2.53,1,378.18,325.82,Warning
15.4,40.86,1,557.32,413.33,Warning
37.76,23.08,0,554.15,414.09,Danger
12.05,31.97,0,533.8,439.16,Warning
17.68,84.65,0,531.05,398.7,Danger
17.59,19.1,1,151.27,97.3,Safe
30.0,4.93,0,286.42,199.6,Danger
37.93,31.25,0,54.17,26.39,Warning
23.51,43.4,1,104.28,57.31,Safe
19.84,39.28,1,398.72,291.82,Warning
23.57,60.67,0,176.6,115.48,Warning
30.94,74.82,0,36.51,22.76,Warning
20.63,78.31,0,441.5,370.99,Danger
41.92,2.55,1,412.89,304.52,Danger
41.35,75.48,0,607.13,479.65,Danger
30.82,17.68,1,83.37,56.05,Safe
15.12,51.84,0,242.34,155.19,Warning
18.73,10.28,1,502.72,390.06,Warning
23.81,40.02,0,473.32,364.92,Warning
19.84,40.45,1,76.14,56.5,Safe
24.69,42.22,0,595.88,466.81,Warning
31.38,32.93,0,0.0,17.92,Safe
11.21,22.52,0,540.75,449.38,Warning
44.27,66.94,1,298.13,244.57,Danger
19.23,65.77,0,252.22,161.14,Danger
26.19,90.07,1,389.49,329.72,Danger
28.83,94.25,0,119.63,48.55,Safe
25.77,27.38,0,71.26,17.39,Safe
28.95,13.2,0,216.34,173.35,Warning
24.78,31.48,0,534.89,457.75,Warning
13.55,17.87,0,211.56,146.56,Warning
34.56,85.28,1,392.75,325.46,Danger
21.99,64.82,0,431.45,365.61,Warning
15.61,24.14,0,44.75,40.66,Safe
32.66,25.5,0,31.68,34.82,Safe
26.3,55.44,1,44.6,34.26,Safe
30.83,15.28,0,457.28,363.32,Danger
21.53,30.13,1,413.93,306.63,Warning
44.36,78.86,1,454.46,378.35,Danger
13.88,16.72,1,470.15,403.87,Warning
26.56,90.12,0,468.85,398.01,Danger
41.94,92.0,1,420.71,335.04,Danger
23.62,47.83,1,182.94,122.31,Safe
41.8,6.74,0,269.84,206.93,Danger
31.58,32.37,1,635.76,493.18,Warning
40.67,70.99,0,470.02,359.44,Danger
43.0,38.95,0,248.99,217.95,Danger
32.97,89.99,1,380.29,283.03,Danger
15.72,0.92,0,0.64,11.78,Safe
32.71,5.78,1,410.39,328.63,Warning
27.81,29.37,0,427.2,352.83,Warning
44.14,43.06,0,371.72,298.53,Danger
27.26,43.08,0,394.14,281.22,Warning
43.16,15.98,0,571.81,484.55,Danger
34.26,6.57,0,75.49,44.91,Safe
39.23,12.98,0,517.0,436.75,Danger
11.73,8.28,0,330.91,316.88,Warning
17.47,80.28,0,56.38,19.01,Safe
18.19,1.57,0,126.34,85.56,Safe
15.75,75.23,0,33.62,0.49,Safe
15.28,32.22,1,314.51,302.17,Warning
33.51,17.58,0,50.99,40.46,Safe
36.59,9.35,0,178.31,189.63,Danger
30.85,52.13,1,61.38,15.64,Safe
36.67,62.72,1,106.67,83.82,Safe
33.83,99.45,1,332.2,226.79,Danger
27.87,48.91,1,108.51,48.81,Safe
33.47,38.28,1,96.35,103.15,Safe
24.18,24.88,0,196.98,145.34,Warning
12.8,64.3,0,376.98,262.36,Warning
35.01,15.66,0,39.92,0.89,Warning
38.24,5.79,0,394.89,288.67,Danger
40.88,8.71,0,211.34,186.38,Danger
23.54,82.13,1,18.98,17.41,Safe
13.04,18.21,1,28.68,10.35,Safe
17.07,8.12,0,166.87,96.67,Safe
34.81,90.95,0,233.54,209.53,Danger
16.95,19.81,0,420.51,311.22,Warning
44.91,25.94,0,257.78,209.28,Danger
20.65,50.06,1,198.3,149.2,Safe
33.28,88.28,0,112.09,83.4,Warning
12.08,35.08,0,209.98,140.54,Warning
27.47,92.68,0,581.89,473.51,Danger
43.06,88.21,0,173.71,119.1,Danger
26.71,34.47,0,340.51,235.4,Warning
32.15,82.84,0,49.14,36.44,Warning
37.92,47.45,0,107.79,90.15,Warning
18.23,55.3,0,548.94,464.28,Warning
21.44,38.29,0,399.34,288.21,Warning
21.17,44.11,0,56.81,58.83,Safe
27.39,81.66,0,47.0,25.45,Safe
18.78,34.31,1,176.27,102.8,Safe
22.4,80.53,0,191.47,110.28,Warning
40.81,93.2,0,126.17,87.29,Warning
37.73,82.47,1,302.05,198.18,Danger
24.51,92.66,0,523.52,418.73,Danger
44.79,69.73,1,245.52,163.32,Danger
43.74,43.12,0,512.3,430.98,Danger
21.85,69.27,1,443.65,324.92,Warning
28.19,29.57,0,250.55,201.0,Warning
25.5,67.71,0,597.62,499.02,Danger
34.3,78.11,1,53.21,25.31,Safe
31.19,71.84,1,467.22,374.67,Danger
28.49,42.1,1,185.93,131.72,Safe
27.76,29.19,1,121.83,64.99,Safe
25.88,67.36,1,125.06,59.26,Safe
40.2,24.46,0,342.55,235.88,Danger
18.22,70.98,0,579.62,467.66,Danger
25.58,53.15,0,73.32,9.34,Safe
22.26,75.5,0,379.68,266.64,Danger
18.37,76.29,0,172.03,110.81,Warning
23.49,40.13,1,37.74,28.67,Safe
30.52,90.1,0,362.5,259.27,Danger
14.93,5.26,0,43.66,44.54,Safe
33.54,71.44,0,343.39,259.83,Danger
24.51,55.12,0,372.32,284.04,Warning
17.29,3.77,0,397.7,282.47,Warning
24.17,64.56,0,138.29,91.22,Safe
39.14,30.83,1,91.23,40.36,Safe
24.53,43.46,0,461.91,349.84,Warning
22.98,26.3,0,221.87,151.13,Warning
28.28,23.45,0,66.14,64.54,Safe
36.71,79.04,0,179.03,159.56,Danger
34.54,16.88,0,232.75,200.52,Danger
41.68,56.34,1,550.28,429.68,Danger
24.26,23.37,0,570.7,443.08,Warning
20.23,82.95,0,136.82,74.41,Safe
20.09,94.52,0,498.3,406.78,Danger
37.3,44.86,0,149.97,73.3,Warning
14.21,58.66,0,588.68,456.09,Warning
11.75,0.53,0,97.49,33.63,Safe
42.19,12.11,1,9.24,9.95,Safe
30.97,36.25,0,583.68,434.68,Danger
36.36,2.87,0,191.92,128.77,Warning
10.74,21.36,0,34.32,1.1,Safe
42.77,74.8,0,378.38,269.62,Danger
13.96,80.83,0,159.26,79.95,Warning
18.47,72.35,0,110.18,45.78,Safe
32.75,45.38,0,40.78,57.12,Safe
17.22,71.68,0,89.76,73.76,Safe
15.04,76.87,0,173.26,109.19,Warning
22.98,47.22,0,546.92,428.62,Warning
15.49,97.31,1,314.85,260.75,Danger
10.82,87.06,1,392.18,317.28,Danger
17.49,50.42,0,444.83,353.88,Warning
36.07,54.71,0,142.69,112.3,Warning
10.28,42.14,0,258.88,167.36,Warning
19.43,32.61,0,55.59,10.27,Safe
40.41,82.01,0,29.24,6.87,Warning
34.72,6.42,0,246.11,203.8,Danger
11.78,51.7,0,120.07,61.65,Safe
30.22,12.89,1,439.1,318.14,Warning
23.45,19.1,1,431.27,347.94,Warning
44.76,47.27,0,228.46,153.34,Danger
32.61,42.04,0,653.26,496.43,Danger
19.49,28.89,0,365.69,256.76,Warning
29.74,73.78,1,81.03,43.84,Safe
40.26,33.56,0,610.53,488.91,Danger
42.97,39.56,0,58.22,50.52,Warning
25.39,6.21,0,16.64,15.32,Safe
22.16,97.41,0,561.1,426.28,Danger
34.64,37.75,1,56.92,13.17,Safe
15.26,6.7,0,626.71,488.49,Warning
21.75,67.28,0,71.73,46.48,Safe
26.86,94.36,0,115.33,87.19,Safe
24.41,7.1,0,380.86,286.84,Warning
44.2,68.22,1,357.55,310.4,Danger
41.08,39.1,1,238.66,208.65,Danger
18.39,94.52,0,117.22,75.04,Safe
11.27,77.93,0,464.65,364.33,Danger
13.62,42.88,0,155.59,86.64,Safe
24.45,57.01,0,556.33,441.19,Warning
40.5,36.88,0,493.56,402.74,Danger
28.2,10.27,1,66.82,4.9,Safe
17.8,25.12,0,57.2,9.42,Safe
18.31,56.53,0,423.85,333.78,Warning
29.04,94.15,1,94.4,33.97,Safe
25.89,93.79,1,409.68,320.48,Danger
29.62,44.75,0,131.5,84.78,Safe
22.7,29.12,0,589.9,472.4,Warning
16.69,30.57,0,434.54,314.83,Warning
24.71,65.79,0,187.35,134.52,Warning
27.17,57.27,1,217.45,179.04,Warning
37.32,10.64,0,502.06,372.88,Danger
22.18,33.33,1,442.57,335.07,Warning
34.0,74.47,0,86.76,24.52,Warning
26.1,68.92,0,18.13,5.91,Safe
43.94,30.91,0,493.14,363.55,Danger
12.23,98.84,1,426.24,320.3,Danger
38.63,48.21,1,379.89,283.62,Danger
38.78,62.92,1,553.42,489.54,Danger
39.67,6.5,1,85.64,63.77,Safe
32.37,50.24,0,395.62,305.41,Danger
37.39,34.79,0,30.16,2.29,Warning
38.04,18.87,0,265.88,237.38,Danger
13.25,81.5,0,116.47,91.43,Safe
16.29,57.91,0,316.55,243.9,Warning
17.51,54.27,1,138.92,99.15,Safe
42.8,79.3,1,332.05,281.8,Danger
30.41,79.71,0,22.71,11.98,Warning
27.37,90.83,0,552.65,427.68,Danger
39.16,67.31,1,493.31,367.29,Danger
13.91,43.43,0,43.69,37.48,Safe
12.87,76.4,0,130.17,67.31,Safe
35.25,50.46,1,57.58,45.56,Safe
16.23,14.04,0,245.01,157.77,Warning
14.62,63.78,0,75.01,14.07,Safe
38.51,52.87,1,502.23,385.11,Danger
38.58,82.0,0,424.39,299.97,Danger
21.27,73.09,0,127.12,112.92,Warning
10.66,83.99,0,33.18,10.87,Safe
30.99,38.67,0,135.03,106.69,Warning
21.88,33.31,0,126.68,84.07,Safe
35.23,13.22,0,42.29,27.75,Warning
18.66,34.62,1,159.42,137.82,Safe
35.75,81.49,1,369.66,292.46,Danger
18.71,88.29,1,176.56,186.26,Warning
39.66,42.45,1,400.54,280.69,Danger
29.74,44.54,1,75.5,31.33,Safe
35.62,54.7,0,572.97,449.06,Danger
31.88,23.62,0,622.01,489.12,Danger
40.55,20.68,0,119.14,101.38,Warning
17.72,88.17,0,94.59,85.7,Safe
35.55,87.23,1,221.03,192.53,Danger
36.22,41.52,0,85.01,52.76,Warning
18.06,75.0,0,17.6,8.25,Safe
27.27,77.26,1,121.86,97.71,Safe
10.9,72.57,1,54.83,30.7,Safe
14.38,50.81,1,90.41,50.64,Safe
33.73,99.2,0,445.6,346.49,Danger
44.74,59.12,0,368.76,317.24,Danger
41.09,2.13,1,644.51,483.92,Danger
24.98,93.15,1,615.92,465.42,Danger
