temperature,humidity,motion,gas,aqi,risk_original,risk
32,62,1,1000,500,Warning,Warning
34,42,1,1000,500,Danger,Warning
22,51,1,883,500,Safe,Warning
27,77,0,1000,500,Warning,Danger
37,84,1,239,500,Warning,Danger
43,43,0,647,176,Safe,Danger
22,37,1,1000,500,Danger,Warning
38,62,1,612,500,Danger,Danger
22,74,1,525,500,Warning,Warning
34,48,0,1000,500,Warning,Danger
28,60,1,1000,500,Warning,Warning
21,87,0,1000,500,Danger,Danger
33,49,0,537,500,Warning,Danger
27,37,0,948,500,Warning,Warning
44,85,0,1000,500,Warning,Danger
44,53,1,1000,500,Danger,Danger
34,60,0,1000,500,Warning,Danger
30,50,0,675,500,Safe,Danger
42,45,0,1000,500,Warning,Danger
44,40,1,996,500,Warning,Danger
29,81,1,1000,500,Warning,Danger
23,89,0,1000,500,Danger,Danger
30,41,0,1000,500,Warning,Danger
29,90,1,1000,500,Danger,Danger
23,58,0,1000,500,Warning,Warning
34,88,1,1000,500,Danger,Danger
23,47,1,896,500,Safe,Warning
31,76,1,1000,500,Danger,Danger
21,85,0,1000,500,Danger,Danger
22,56,1,1000,419,Warning,Warning
42,50,1,456,500,Safe,Danger
23,46,0,530,500,Safe,Warning
35,83,0,1000,500,Warning,Danger
26,63,1,1000,500,Warning,Warning
37,47,0,1000,500,Warning,Danger
22,82,1,527,500,Warning,Danger
34,55,1,990,500,Warning,Warning
43,68,0,1000,500,Danger,Danger
33,84,0,1000,500,Danger,Danger
27,79,0,1000,500,Warning,Danger
33,34,1,1000,438,Warning,Warning
45,38,1,1000,411,Warning,Danger
44,90,0,975,500,Warning,Danger
44,56,0,1000,500,Warning,Danger
26,78,1,916,500,Warning,Warning
42,32,0,377,500,Warning,Danger
30,32,0,1000,500,Warning,Danger
35,91,1,1000,500,Danger,Danger
40,76,1,1000,500,Danger,Danger
41,60,1,880,500,Warning,Danger
44,68,0,1000,500,Danger,Danger
26,78,0,1000,463,Warning,Danger
43,76,1,682,500,Warning,Danger
25,72,0,1000,500,Warning,Danger
38,71,0,1000,500,Danger,Danger
34,34,0,981,500,Warning,Danger
36,74,1,289,386,Safe,Danger
27,30,0,1000,500,Warning,Warning
31,56,1,1000,500,Danger,Warning
34,85,1,369,500,Danger,Danger
20,74,1,823,500,Warning,Warning
21,72,0,950,500,Warning,Danger
25,72,1,1000,500,Warning,Warning
22,39,1,773,500,Warning,Warning
21,62,1,262,500,Warning,Warning
31,59,1,1000,500,Warning,Warning
20,33,0,1000,474,Warning,Warning
30,77,0,1000,500,Warning,Danger
40,38,0,187,500,Warning,Danger
35,92,0,1000,500,Danger,Danger
34,94,1,1000,500,Warning,Danger
30,74,0,1000,500,Warning,Danger
25,40,0,687,500,Safe,Warning
41,35,0,1000,500,Danger,Danger
34,34,1,1000,500,Warning,Warning
43,30,1,1000,500,Danger,Danger
40,35,0,1000,500,Warning,Danger
40,51,0,1000,500,Warning,Danger
28,42,1,1000,500,Warning,Warning
24,80,0,941,500,Warning,Danger
32,48,1,1000,500,Warning,Warning
38,65,1,1000,500,Danger,Danger
40,91,1,1000,500,Danger,Danger
20,68,1,956,500,Warning,Warning
29,78,1,239,500,Warning,Warning
34,48,0,1000,500,Danger,Danger
22,41,0,858,213,Safe,Warning
37,42,1,1000,500,Warning,Danger
37,71,1,1000,500,Danger,Danger
44,50,0,1000,500,Warning,Danger
24,34,0,1000,455,Safe,Warning
45,85,1,1000,500,Danger,Danger
26,80,0,1000,500,Warning,Danger
31,88,1,1000,500,Warning,Danger
29,39,0,1000,500,Warning,Warning
41,68,1,1000,500,Danger,Danger
44,82,1,325,500,Warning,Danger
21,76,1,1000,258,Warning,Warning
32,46,0,1000,500,Warning,Danger
20,73,1,1000,500,Danger,Warning
31,67,1,1000,500,Warning,Danger
36,76,0,1000,500,Warning,Danger
29,94,0,1000,500,Danger,Danger
38,95,0,1000,500,Danger,Danger
32,72,0,1000,500,Warning,Danger
27,66,0,1000,500,Warning,Danger
39,90,1,1000,500,Danger,Danger
43,64,1,902,500,Warning,Danger
37,54,1,1000,500,Danger,Danger
30,76,0,1000,500,Warning,Danger
25,78,0,1000,500,Warning,Danger
22,45,1,1000,500,Warning,Warning
32,79,1,1000,500,Danger,Danger
39,71,0,1000,500,Danger,Danger
41,55,0,1000,500,Danger,Danger
40,31,1,855,500,Warning,Danger
37,45,1,1000,500,Danger,Danger
45,76,0,1000,500,Danger,Danger
44,80,1,504,500,Warning,Danger
27,54,1,1000,500,Warning,Warning
20,77,1,1000,500,Danger,Warning
44,51,0,1000,500,Danger,Danger
45,69,1,180,500,Warning,Danger
35,38,0,1000,500,Warning,Danger
26,79,0,1000,500,Warning,Danger
32,42,1,1000,449,Warning,Warning
41,42,0,1000,500,Danger,Danger
33,57,1,1000,500,Danger,Warning
44,90,1,1000,231,Danger,Danger
40,86,0,1000,500,Danger,Danger
20,58,1,856,500,Warning,Warning
28,40,0,1000,500,Warning,Warning
32,91,1,1000,500,Danger,Danger
31,63,1,1000,500,Warning,Warning
44,66,0,1000,500,Warning,Danger
24,74,0,1000,500,Danger,Danger
33,86,1,1000,500,Danger,Danger
39,37,1,1000,500,Warning,Danger
20,76,1,1000,500,Warning,Warning
36,51,1,430,500,Warning,Danger
30,44,0,451,500,Safe,Danger
21,64,0,1000,380,Safe,Warning
39,80,1,1000,500,Warning,Danger
40,42,0,1000,500,Warning,Danger
29,68,0,998,500,Safe,Danger
26,36,0,757,500,Warning,Warning
21,50,1,1000,500,Warning,Warning
28,60,0,1000,500,Warning,Warning
23,30,0,1000,500,Warning,Warning
24,66,0,553,500,Safe,Danger
35,80,0,1000,500,Warning,Danger
36,52,1,1000,500,Warning,Danger
23,43,1,1000,500,Warning,Warning
40,52,1,165,500,Warning,Warning
31,90,0,1000,500,Warning,Danger
31,88,1,1000,500,Danger,Danger
30,91,1,110,500,Warning,Warning
24,35,0,1000,500,Warning,Warning
21,54,0,1000,500,Safe,Warning
45,95,0,1000,500,Danger,Danger
35,30,1,1000,500,Danger,Danger
23,30,1,1000,500,Warning,Warning
37,78,1,664,500,Warning,Danger
27,44,1,101,448,Safe,Safe
32,67,0,1000,500,Warning,Danger
23,56,0,227,500,Safe,Warning
29,77,1,1000,500,Warning,Warning
21,47,1,1000,296,Warning,Warning
33,44,0,883,500,Safe,Danger
44,63,0,1000,500,Danger,Danger
37,50,0,1000,500,Warning,Danger
22,58,1,240,167,Safe,Warning
32,56,1,619,500,Safe,Warning
32,37,0,1000,500,Warning,Danger
30,74,0,604,500,Warning,Danger
27,47,0,1000,500,Safe,Warning
26,70,0,1000,500,Warning,Danger
32,78,0,1000,191,Warning,Danger
22,55,0,1000,500,Warning,Warning
41,53,0,1000,500,Warning,Danger
42,67,0,1000,271,Warning,Danger
27,57,1,1000,500,Warning,Warning
26,77,1,1000,500,Danger,Warning
36,69,0,1000,500,Danger,Danger
24,81,0,1000,500,Warning,Danger
29,75,0,1000,500,Warning,Danger
34,85,1,1000,500,Danger,Danger
45,65,0,1000,500,Danger,Danger
43,78,1,506,500,Warning,Danger
27,58,0,1000,500,Danger,Warning
24,72,0,1000,500,Danger,Danger
28,88,0,666,500,Warning,Danger
45,40,1,1000,500,Danger,Danger
29,44,0,986,500,Warning,Warning
40,82,1,1000,500,Danger,Danger
35,90,0,1000,500,Danger,Danger
35,50,0,771,500,Warning,Danger
43,84,0,1000,497,Warning,Danger
23,45,0,542,500,Warning,Warning
21,44,1,1000,500,Warning,Warning
37,64,0,1000,500,Warning,Danger
24,80,1,1000,500,Warning,Danger
22,30,0,1000,500,Warning,Warning
22,60,0,1000,500,Warning,Warning
42,43,0,1000,500,Warning,Danger
35,38,1,723,500,Warning,Danger
26,92,0,626,500,Warning,Danger
37,90,0,537,500,Warning,Danger
31,90,1,677,500,Warning,Danger
32,60,1,1000,500,Warning,Warning
45,85,1,853,447,Warning,Danger
45,71,0,307,500,Warning,Danger
26,37,0,1000,500,Warning,Warning
28,54,1,1000,500,Warning,Warning
44,62,0,657,500,Safe,Danger
21,46,1,1000,500,Warning,Warning
23,39,0,519,500,Safe,Warning
38,66,0,614,500,Warning,Danger
34,46,0,1000,328,Warning,Danger
39,40,1,690,500,Warning,Danger
36,57,1,1000,500,Warning,Danger
45,74,0,1000,500,Danger,Danger
25,53,1,1000,500,Warning,Warning
21,78,1,1000,500,Danger,Warning
21,45,1,933,500,Safe,Warning
42,83,0,1000,500,Danger,Danger
35,47,1,1000,500,Warning,Danger
25,71,0,498,500,Warning,Danger
39,33,0,1000,494,Warning,Danger
38,85,1,353,500,Warning,Danger
39,93,1,1000,500,Danger,Danger
39,68,1,123,500,Danger,Warning
26,68,0,1000,500,Warning,Danger
33,69,1,1000,500,Danger,Danger
35,48,0,1000,500,Warning,Danger
39,38,1,1000,500,Danger,Danger
26,35,1,307,500,Warning,Warning
32,39,0,1000,500,Safe,Danger
30,33,1,1000,500,Danger,Warning
30,80,0,1000,500,Warning,Danger
42,31,0,631,500,Warning,Danger
20,52,0,1000,500,Warning,Warning
43,89,1,1000,482,Danger,Danger
23,39,1,1000,500,Warning,Warning
42,94,0,664,234,Warning,Danger
40,70,1,1000,500,Danger,Danger
31,47,0,230,500,Warning,Danger
38,63,0,1000,500,Warning,Danger
39,85,0,1000,500,Danger,Danger
32,59,0,1000,500,Warning,Danger
20,46,0,1000,500,Warning,Warning
34,66,1,1000,146,Warning,Warning
35,69,0,1000,500,Warning,Danger
36,73,0,1000,500,Danger,Danger
24,71,0,1000,500,Warning,Danger
36,69,1,1000,500,Warning,Danger
44,82,0,1000,500,Danger,Danger
40,81,1,1000,500,Warning,Danger
31,42,0,1000,500,Warning,Danger
35,80,0,1000,500,Danger,Danger
35,46,0,848,500,Warning,Danger
42,47,0,1000,500,Warning,Danger
42,63,0,1000,500,Danger,Danger
44,31,1,1000,500,Warning,Danger
43,80,0,1000,500,Danger,Danger
34,52,1,1000,500,Warning,Warning
34,95,0,1000,500,Danger,Danger
36,77,1,1000,500,Warning,Danger
28,67,1,1000,500,Warning,Warning
23,48,1,1000,500,Warning,Warning
28,58,1,1000,500,Warning,Warning
32,48,1,1000,500,Warning,Warning
21,41,1,1000,253,Warning,Warning
29,81,0,1000,500,Danger,Danger
29,84,1,1000,500,Warning,Danger
31,41,1,1000,500,Warning,Warning
24,39,0,1000,500,Warning,Warning
22,64,1,1000,500,Danger,Warning
30,48,1,1000,500,Warning,Warning
33,70,1,1000,500,Danger,Danger
30,63,1,1000,500,Warning,Warning
43,65,0,1000,500,Warning,Danger
42,83,1,1000,500,Warning,Danger
40,82,1,369,500,Warning,Danger
27,66,0,1000,500,Warning,Danger
21,59,0,1000,500,Warning,Warning
36,91,1,1000,500,Warning,Danger
24,51,1,640,500,Warning,Warning
36,35,0,1000,500,Warning,Danger
26,33,0,1000,500,Warning,Warning
34,38,1,1000,500,Warning,Warning
45,44,1,1000,500,Warning,Danger
42,73,0,1000,500,Danger,Danger
31,52,0,777,500,Warning,Danger
31,64,1,1000,500,Warning,Warning
31,89,0,1000,500,Warning,Danger
24,90,0,605,500,Warning,Danger
32,71,1,1000,500,Danger,Danger
27,88,0,1000,500,Danger,Danger
42,61,1,545,500,Warning,Danger
30,70,0,1000,500,Warning,Danger
32,56,1,1000,500,Warning,Warning
42,52,1,1000,500,Danger,Danger
21,90,1,1000,500,Danger,Danger
43,73,0,1000,500,Danger,Danger
33,80,0,1000,500,Warning,Danger
29,42,0,1000,500,Warning,Warning
44,81,1,1000,159,Danger,Danger
31,52,0,589,500,Safe,Danger
29,57,0,1000,500,Warning,Warning
34,67,1,660,500,Warning,Danger
39,45,0,659,500,Safe,Danger
35,54,0,1000,289,Safe,Danger
44,31,0,1000,500,Danger,Danger
28,50,1,1000,500,Danger,Warning
20,77,1,187,500,Warning,Warning
35,87,1,1000,368,Danger,Danger
32,83,1,1000,275,Warning,Danger
37,44,1,1000,107,Warning,Warning
32,52,0,1000,500,Warning,Danger
21,73,0,848,500,Safe,Danger
40,44,0,1000,500,Danger,Danger
20,87,1,713,500,Warning,Danger
35,77,1,1000,500,Danger,Danger
27,50,1,1000,500,Danger,Warning
35,48,0,1000,500,Warning,Danger
29,47,1,1000,500,Warning,Warning
33,47,1,1000,500,Danger,Warning
24,34,0,1000,396,Safe,Warning
29,77,0,1000,500,Warning,Danger
31,95,1,1000,500,Danger,Danger
39,60,1,1000,500,Danger,Danger
39,64,0,1000,500,Warning,Danger
29,53,0,1000,500,Warning,Warning
43,63,1,1000,500,Warning,Danger
33,75,1,1000,500,Danger,Danger
36,45,0,1000,500,Warning,Danger
42,60,0,1000,173,Warning,Danger
27,33,0,1000,500,Warning,Warning
24,42,0,887,500,Warning,Warning
42,65,0,1000,500,Warning,Danger
45,33,1,1000,500,Danger,Danger
24,76,1,1000,500,Danger,Warning
34,80,0,1000,500,Danger,Danger
30,94,0,1000,114,Warning,Danger
23,79,1,1000,500,Warning,Warning
33,82,1,1000,500,Warning,Danger
30,31,1,561,500,Safe,Warning
33,46,0,1000,486,Safe,Danger
45,42,0,1000,500,Danger,Danger
37,66,0,1000,500,Warning,Danger
24,79,0,1000,500,Warning,Danger
40,92,1,1000,500,Danger,Danger
32,36,1,1000,500,Warning,Warning
23,78,0,1000,500,Warning,Danger
31,66,1,1000,500,Warning,Danger
37,94,0,1000,500,Danger,Danger
24,56,0,1000,500,Warning,Warning
22,93,0,1000,500,Warning,Danger
43,71,1,1000,500,Danger,Danger
36,64,1,1000,500,Danger,Danger
42,46,0,1000,500,Warning,Danger
41,88,0,1000,500,Danger,Danger
25,65,1,1000,500,Warning,Warning
31,87,1,1000,500,Danger,Danger
42,94,0,1000,500,Warning,Danger
44,38,1,1000,500,Warning,Danger
42,40,1,1000,500,Danger,Danger
37,35,1,1000,500,Warning,Danger
30,95,0,1000,500,Warning,Danger
22,44,1,1000,500,Warning,Warning
32,33,0,1000,500,Warning,Danger
23,75,0,195,500,Safe,Warning
45,30,1,209,500,Warning,Warning
34,88,1,1000,500,Danger,Danger
23,44,0,1000,500,Warning,Warning
42,63,1,1000,500,Danger,Danger
20,74,1,1000,500,Warning,Warning
40,85,0,411,477,Warning,Danger
29,80,1,1000,500,Danger,Danger
24,79,1,217,500,Safe,Warning
36,75,1,1000,500,Danger,Danger
32,79,0,1000,500,Warning,Danger
31,71,0,1000,500,Warning,Danger
27,53,1,288,500,Safe,Warning
41,72,1,1000,500,Danger,Danger
28,35,1,1000,399,Warning,Warning
29,35,0,1000,500,Warning,Warning
20,95,1,1000,500,Danger,Danger
25,74,1,551,500,Safe,Warning
40,43,1,1000,500,Danger,Danger
25,93,1,1000,500,Warning,Danger
39,87,0,1000,500,Danger,Danger
43,90,0,1000,500,Danger,Danger
27,36,0,1000,500,Warning,Warning
25,66,1,304,500,Warning,Warning
39,77,0,1000,500,Warning,Danger
23,87,0,1000,500,Warning,Danger
22,89,1,1000,470,Warning,Danger
36,77,1,1000,500,Danger,Danger
21,33,1,113,500,Warning,Safe
31,77,1,1000,500,Warning,Danger
30,46,0,1000,500,Warning,Danger
40,54,1,1000,440,Warning,Danger
25,49,0,1000,429,Safe,Warning
40,70,1,1000,500,Danger,Danger
40,75,0,1000,500,Warning,Danger
21,95,0,1000,500,Warning,Danger
22,62,1,171,186,Safe,Warning
35,49,1,1000,500,Warning,Danger
40,53,0,1000,500,Warning,Danger
30,85,0,1000,500,Danger,Danger
22,61,0,698,500,Safe,Warning
25,49,1,522,500,Warning,Warning
28,65,0,1000,138,Warning,Warning
21,64,0,1000,500,Warning,Warning
34,75,1,1000,500,Danger,Danger
27,91,0,1000,500,Warning,Danger
21,32,0,428,500,Safe,Warning
28,49,0,1000,500,Warning,Warning
22,56,0,1000,500,Warning,Warning
27,32,1,502,500,Warning,Warning
27,61,1,1000,204,Warning,Warning
26,42,1,752,500,Warning,Warning
45,47,0,662,108,Safe,Danger
34,83,0,511,430,Safe,Danger
45,74,1,1000,500,Danger,Danger
24,90,0,1000,446,Warning,Danger
32,87,1,1000,119,Warning,Danger
28,87,0,424,471,Safe,Danger
33,59,1,450,500,Warning,Warning
39,56,0,1000,500,Danger,Danger
36,58,1,1000,500,Danger,Danger
20,39,1,1000,500,Warning,Warning
37,35,0,1000,500,Warning,Danger
