temperature,humidity,motion,light,gas,aqi,sound,risk,timestamp
31,71,0,Dim,2376,1981,Low,Warning,2026-05-10 20:49:12
43,85,0,Dark,812,2329,Low,Danger,2026-05-10 20:50:12
42,40,1,Dark,2436,3209,Low,Danger,2026-05-10 20:51:12
43,62,0,Bright,2016,252,Low,Warning,2026-05-10 20:52:12
20,70,0,Dark,3069,201,Low,Warning,2026-05-10 20:53:12
21,47,1,Bright,3466,3447,High,Danger,2026-05-10 20:54:12
35,70,0,Dim,270,2486,High,Warning,2026-05-10 20:55:12
38,82,1,Dim,1848,1447,Medium,Warning,2026-05-10 20:56:12
22,42,0,Dim,3374,1610,Low,Warning,2026-05-10 20:57:12
37,71,1,Dim,1338,3326,High,Danger,2026-05-10 20:58:12
32,80,1,Bright,198,686,High,Normal,2026-05-10 20:59:12
22,78,0,Dim,1757,2478,High,Warning,2026-05-10 21:00:12
43,66,0,Dim,772,2296,High,Warning,2026-05-10 21:01:12
38,75,1,Dim,3008,2525,High,Danger,2026-05-10 21:02:12
43,84,1,Dark,2107,1605,High,Danger,2026-05-10 21:03:12
42,58,1,Bright,1494,1163,High,Warning,2026-05-10 21:04:12
32,54,1,Dark,2071,2183,High,Danger,2026-05-10 21:05:12
21,90,0,Dim,798,2522,High,Warning,2026-05-10 21:06:12
33,66,1,Dim,2616,205,Medium,Warning,2026-05-10 21:07:12
36,71,1,Dark,1429,445,Medium,Warning,2026-05-10 21:08:12
32,54,0,Dim,462,245,Medium,Normal,2026-05-10 21:09:12
21,95,0,Dim,380,621,Medium,Normal,2026-05-10 21:10:12
21,65,1,Bright,137,394,Low,Normal,2026-05-10 21:11:12
21,41,0,Dim,1240,2317,Low,Warning,2026-05-10 21:12:12
31,33,0,Dark,961,2299,Medium,Warning,2026-05-10 21:13:12
31,38,0,Bright,3255,2430,Low,Warning,2026-05-10 21:14:12
29,73,1,Dark,551,3351,Low,Warning,2026-05-10 21:15:12
45,51,0,Bright,3352,3462,Medium,Danger,2026-05-10 21:16:12
21,38,1,Bright,1607,3062,Medium,Warning,2026-05-10 21:17:12
38,47,1,Dim,1285,2800,Low,Danger,2026-05-10 21:18:12
37,88,1,Dim,3070,154,Medium,Warning,2026-05-10 21:19:12
25,33,0,Dark,1257,3298,Low,Warning,2026-05-10 21:20:12
31,61,0,Dark,750,1411,Low,Normal,2026-05-10 21:21:12
23,90,1,Dim,2034,3326,Low,Danger,2026-05-10 21:22:12
41,87,0,Bright,1484,104,High,Warning,2026-05-10 21:23:12
36,53,0,Dim,380,2003,Low,Normal,2026-05-10 21:24:12
27,69,0,Dark,202,1240,Low,Normal,2026-05-10 21:25:12
28,48,1,Dark,1568,636,Low,Warning,2026-05-10 21:26:12
39,40,0,Bright,157,2445,Low,Warning,2026-05-10 21:27:12
33,39,1,Dark,1140,2176,Medium,Warning,2026-05-10 21:28:12
42,66,0,Dark,244,1727,Medium,Warning,2026-05-10 21:29:12
33,74,1,Bright,3272,1862,High,Danger,2026-05-10 21:30:12
35,41,1,Dim,3165,219,Medium,Warning,2026-05-10 21:31:12
36,95,0,Bright,615,1057,High,Warning,2026-05-10 21:32:12
42,90,1,Dark,1708,331,Low,Danger,2026-05-10 21:33:12
21,88,0,Bright,1454,259,Medium,Warning,2026-05-10 21:34:12
29,40,1,Bright,1168,2789,Medium,Warning,2026-05-10 21:35:12
30,57,1,Dark,2452,2708,High,Danger,2026-05-10 21:36:12
32,73,1,Dark,1957,1508,High,Danger,2026-05-10 21:37:12
30,58,1,Bright,1062,785,Low,Normal,2026-05-10 21:38:12
26,41,0,Dim,765,573,High,Normal,2026-05-10 21:39:12
45,42,1,Dark,3259,2589,Low,Danger,2026-05-10 21:40:12
44,36,0,Bright,2106,2450,Medium,Warning,2026-05-10 21:41:12
26,50,0,Dim,3090,608,Low,Normal,2026-05-10 21:42:12
43,63,0,Dim,1086,1773,Medium,Warning,2026-05-10 21:43:12
39,93,1,Dim,1559,2888,Low,Danger,2026-05-10 21:44:12
24,74,0,Dim,1214,1674,Medium,Warning,2026-05-10 21:45:12
33,35,0,Bright,309,3052,Medium,Warning,2026-05-10 21:46:12
37,39,1,Bright,286,1899,High,Warning,2026-05-10 21:47:12
20,91,0,Dark,2029,513,High,Warning,2026-05-10 21:48:12
24,94,1,Bright,762,675,Medium,Warning,2026-05-10 21:49:12
30,58,0,Bright,205,1789,Low,Normal,2026-05-10 21:50:12
29,50,1,Bright,3142,1457,Low,Warning,2026-05-10 21:51:12
30,62,1,Dim,3028,2084,Medium,Warning,2026-05-10 21:52:12
24,47,1,Dim,3122,3313,Medium,Warning,2026-05-10 21:53:12
42,58,1,Dim,2395,1577,Low,Danger,2026-05-10 21:54:12
27,89,1,Dark,2623,1297,Low,Danger,2026-05-10 21:55:12
37,53,1,Dim,3062,2940,Low,Danger,2026-05-10 21:56:12
31,76,1,Bright,452,1579,Low,Warning,2026-05-10 21:57:12
22,60,1,Dim,1883,2031,High,Warning,2026-05-10 21:58:12
36,54,0,Dim,2526,506,Low,Warning,2026-05-10 21:59:12
34,37,1,Dim,1247,1863,High,Warning,2026-05-10 22:00:12
42,82,0,Dim,209,372,Medium,Normal,2026-05-10 22:01:12
37,46,0,Dim,1848,2914,High,Warning,2026-05-10 22:02:12
28,50,0,Dim,178,1684,High,Normal,2026-05-10 22:03:12
25,45,0,Bright,998,1717,Medium,Normal,2026-05-10 22:04:12
35,82,1,Dim,1441,786,High,Warning,2026-05-10 22:05:12
26,71,0,Dark,385,2356,Low,Warning,2026-05-10 22:06:12
35,63,1,Bright,628,1775,High,Warning,2026-05-10 22:07:12
24,44,0,Dim,1957,606,High,Normal,2026-05-10 22:08:12
45,75,0,Dark,2138,2099,High,Danger,2026-05-10 22:09:12
39,62,1,Bright,673,2492,Medium,Warning,2026-05-10 22:10:12
44,70,0,Bright,1623,2237,High,Danger,2026-05-10 22:11:12
33,58,0,Dark,3199,1130,Low,Warning,2026-05-10 22:12:12
26,46,0,Bright,1904,1565,Low,Warning,2026-05-10 22:13:12
43,40,1,Dim,3449,818,Low,Warning,2026-05-10 22:14:12
38,41,0,Dark,3475,3400,Low,Danger,2026-05-10 22:15:12
20,83,0,Dim,2570,1746,Low,Warning,2026-05-10 22:16:12
36,41,1,Dark,444,1753,Low,Warning,2026-05-10 22:17:12
33,94,1,Dim,2889,2751,Medium,Danger,2026-05-10 22:18:12
44,89,0,Bright,122,684,High,Warning,2026-05-10 22:19:12
28,44,0,Dim,2104,2207,Low,Warning,2026-05-10 22:20:12
25,67,1,Bright,3124,2434,Low,Warning,2026-05-10 22:21:12
39,90,1,Dark,107,1987,High,Danger,2026-05-10 22:22:12
30,47,1,Dark,684,2856,Medium,Warning,2026-05-10 22:23:12
37,41,1,Dark,2615,3061,High,Danger,2026-05-10 22:24:12
43,60,0,Dark,352,2550,Medium,Warning,2026-05-10 22:25:12
31,38,1,Dark,1662,1320,Low,Warning,2026-05-10 22:26:12
27,89,1,Dim,1545,3288,Medium,Danger,2026-05-10 22:27:12
44,31,1,Dim,2147,2637,Low,Danger,2026-05-10 22:28:12
20,30,1,Bright,2440,2974,High,Danger,2026-05-10 22:29:12
44,74,0,Bright,2602,1789,High,Danger,2026-05-10 22:30:12
26,41,0,Dim,1608,462,Medium,Normal,2026-05-10 22:31:12
27,77,0,Dark,1577,1378,Low,Warning,2026-05-10 22:32:12
43,85,0,Dim,775,2553,High,Danger,2026-05-10 22:33:12
20,39,1,Dim,1586,1855,Medium,Warning,2026-05-10 22:34:12
28,76,1,Bright,1113,3445,Medium,Warning,2026-05-10 22:35:12
26,41,0,Dim,2798,2044,Low,Warning,2026-05-10 22:36:12
31,91,0,Bright,2147,2727,High,Danger,2026-05-10 22:37:12
24,57,1,Dim,1928,3472,Low,Warning,2026-05-10 22:38:12
40,89,1,Dark,2017,2831,High,Danger,2026-05-10 22:39:12
34,68,0,Dark,2365,3054,Low,Danger,2026-05-10 22:40:12
33,87,0,Bright,3499,795,High,Danger,2026-05-10 22:41:12
41,52,1,Bright,1062,2623,Low,Warning,2026-05-10 22:42:12
24,55,0,Bright,334,479,High,Normal,2026-05-10 22:43:12
22,32,0,Bright,277,183,Low,Normal,2026-05-10 22:44:12
27,78,1,Dark,2908,1454,Medium,Warning,2026-05-10 22:45:12
45,32,1,Dark,2459,2919,Low,Danger,2026-05-10 22:46:12
31,66,0,Dim,1192,2974,Low,Warning,2026-05-10 22:47:12
36,93,0,Dark,784,3421,Low,Danger,2026-05-10 22:48:12
35,81,0,Dark,2167,2894,Medium,Danger,2026-05-10 22:49:12
26,86,0,Dim,391,2452,High,Warning,2026-05-10 22:50:12
21,80,0,Bright,2477,732,Medium,Warning,2026-05-10 22:51:12
35,57,1,Dim,1610,1420,High,Warning,2026-05-10 22:52:12
30,72,0,Dim,2923,3347,Low,Warning,2026-05-10 22:53:12
33,88,1,Dim,3405,3254,Medium,Danger,2026-05-10 22:54:12
39,60,0,Dark,2751,3481,High,Danger,2026-05-10 22:55:12
35,94,1,Dim,448,440,High,Warning,2026-05-10 22:56:12
23,58,0,Dim,3146,2977,High,Warning,2026-05-10 22:57:12
44,39,0,Bright,770,632,Low,Normal,2026-05-10 22:58:12
32,88,0,Bright,1052,2552,Medium,Warning,2026-05-10 22:59:12
29,42,0,Dark,3202,345,High,Warning,2026-05-10 23:00:12
31,56,1,Bright,1500,3414,High,Warning,2026-05-10 23:01:12
30,35,0,Dim,411,763,Low,Normal,2026-05-10 23:02:12
26,94,0,Dim,1223,2078,Low,Warning,2026-05-10 23:03:12
37,56,0,Bright,1473,2358,Medium,Warning,2026-05-10 23:04:12
43,31,1,Dim,1991,2854,Low,Danger,2026-05-10 23:05:12
24,59,0,Dark,1535,1062,High,Warning,2026-05-10 23:06:12
23,79,1,Dim,1401,2761,High,Danger,2026-05-10 23:07:12
31,36,1,Dim,2987,557,Medium,Warning,2026-05-10 23:08:12
38,44,0,Dim,645,1534,Medium,Warning,2026-05-10 23:09:12
29,70,1,Bright,3026,862,High,Warning,2026-05-10 23:10:12
20,30,1,Dim,130,3204,Low,Warning,2026-05-10 23:11:12
29,89,0,Dark,1209,2892,High,Danger,2026-05-10 23:12:12
33,63,1,Dark,852,2538,Medium,Warning,2026-05-10 23:13:12
43,59,1,Bright,2337,2568,Low,Danger,2026-05-10 23:14:12
43,71,1,Dim,2577,1796,High,Danger,2026-05-10 23:15:12
22,52,0,Dim,2397,2321,Medium,Warning,2026-05-10 23:16:12
32,82,1,Dim,3432,765,High,Warning,2026-05-10 23:17:12
24,46,1,Dim,1952,3056,Low,Warning,2026-05-10 23:18:12
43,86,0,Dark,2923,2914,Low,Danger,2026-05-10 23:19:12
30,58,0,Dark,1156,3101,Medium,Warning,2026-05-10 23:20:12
33,94,1,Dark,1679,1754,Medium,Danger,2026-05-10 23:21:12
27,54,1,Dim,2983,1270,Low,Warning,2026-05-10 23:22:12
22,74,0,Dim,2880,2195,Low,Warning,2026-05-10 23:23:12
35,72,0,Dim,2419,2858,Medium,Danger,2026-05-10 23:24:12
29,41,0,Dim,2355,2001,Medium,Warning,2026-05-10 23:25:12
27,94,1,Dim,1408,682,Medium,Warning,2026-05-10 23:26:12
30,79,1,Dim,3457,1049,Low,Warning,2026-05-10 23:27:12
35,42,1,Dim,1851,927,Medium,Warning,2026-05-10 23:28:12
26,47,0,Dim,1569,2738,Medium,Warning,2026-05-10 23:29:12
38,45,1,Dim,2612,138,Medium,Warning,2026-05-10 23:30:12
42,50,1,Dim,2812,2726,High,Danger,2026-05-10 23:31:12
22,52,1,Dim,3250,2457,Low,Warning,2026-05-10 23:32:12
33,48,1,Bright,2902,2753,Medium,Danger,2026-05-10 23:33:12
32,35,1,Dim,2908,500,Medium,Warning,2026-05-10 23:34:12
24,40,0,Bright,714,1408,Low,Normal,2026-05-10 23:35:12
29,47,1,Bright,1500,3186,Medium,Warning,2026-05-10 23:36:12
43,90,1,Bright,2823,2084,High,Danger,2026-05-10 23:37:12
22,86,0,Dark,1047,492,High,Warning,2026-05-10 23:38:12
34,92,0,Dark,1388,1101,High,Danger,2026-05-10 23:39:12
27,65,0,Dim,1447,3178,High,Warning,2026-05-10 23:40:12
38,55,0,Dark,1772,3049,Low,Danger,2026-05-10 23:41:12
30,72,0,Bright,1513,401,High,Warning,2026-05-10 23:42:12
38,47,0,Bright,347,210,Low,Normal,2026-05-10 23:43:12
42,72,1,Bright,799,3438,High,Danger,2026-05-10 23:44:12
26,86,1,Dark,1915,1447,High,Danger,2026-05-10 23:45:12
44,63,0,Dark,2603,1854,Medium,Danger,2026-05-10 23:46:12
23,80,0,Dim,2211,2087,High,Warning,2026-05-10 23:47:12
23,70,0,Bright,2842,348,Low,Warning,2026-05-10 23:48:12
38,43,0,Dark,950,1682,Low,Warning,2026-05-10 23:49:12
37,68,1,Bright,1186,3310,High,Warning,2026-05-10 23:50:12
27,48,1,Dark,2227,3075,High,Danger,2026-05-10 23:51:12
45,33,1,Dark,3431,341,High,Danger,2026-05-10 23:52:12
21,44,0,Dark,2470,2180,Medium,Warning,2026-05-10 23:53:12
22,57,0,Dim,3219,3152,High,Warning,2026-05-10 23:54:12
40,57,0,Bright,3077,2370,High,Danger,2026-05-10 23:55:12
43,51,0,Dark,2480,2169,Low,Danger,2026-05-10 23:56:12
20,75,1,Bright,850,2905,Low,Warning,2026-05-10 23:57:12
28,78,1,Bright,1774,671,Medium,Warning,2026-05-10 23:58:12
32,68,0,Bright,739,2858,High,Warning,2026-05-10 23:59:12
44,85,0,Dim,2982,1059,Low,Danger,2026-05-11 00:00:12
32,90,0,Dark,2816,2498,Medium,Danger,2026-05-11 00:01:12
31,70,1,Dim,2380,3033,Medium,Danger,2026-05-11 00:02:12
38,73,1,Dim,1067,391,Low,Warning,2026-05-11 00:03:12
37,36,1,Dark,164,198,Medium,Normal,2026-05-11 00:04:12
45,56,0,Dim,3272,2987,Low,Danger,2026-05-11 00:05:12
33,47,0,Bright,2771,2542,Medium,Warning,2026-05-11 00:06:12
26,59,1,Dark,1420,1076,Medium,Warning,2026-05-11 00:07:12
42,52,0,Dim,2725,1373,High,Warning,2026-05-11 00:08:12
34,72,1,Bright,3307,702,Medium,Warning,2026-05-11 00:09:12
35,90,1,Bright,1987,1851,Low,Danger,2026-05-11 00:10:12
22,64,0,Bright,1120,2757,High,Warning,2026-05-11 00:11:12
26,85,1,Dim,1247,2617,Medium,Danger,2026-05-11 00:12:12
43,59,0,Dim,496,1743,Low,Warning,2026-05-11 00:13:12
26,58,1,Dark,1728,2055,High,Warning,2026-05-11 00:14:12
29,94,1,Bright,3149,1343,Medium,Warning,2026-05-11 00:15:12
23,30,0,Bright,2406,1900,Medium,Warning,2026-05-11 00:16:12
26,85,0,Dark,1493,3166,Low,Danger,2026-05-11 00:17:12
33,41,1,Dim,2269,1315,Medium,Warning,2026-05-11 00:18:12
37,37,1,Dark,1277,524,Medium,Warning,2026-05-11 00:19:12
26,36,0,Dim,1613,2670,High,Warning,2026-05-11 00:20:12
37,74,0,Dim,636,1931,High,Warning,2026-05-11 00:21:12
28,76,0,Dark,3464,2499,Medium,Warning,2026-05-11 00:22:12
24,54,1,Dim,1788,2099,High,Warning,2026-05-11 00:23:12
29,41,1,Dim,1924,2390,High,Warning,2026-05-11 00:24:12
22,67,1,Dark,2540,1174,High,Warning,2026-05-11 00:25:12
34,67,1,Dim,2977,3276,Medium,Danger,2026-05-11 00:26:12
40,70,1,Dark,1326,2003,High,Danger,2026-05-11 00:27:12
31,39,1,Dark,3000,2734,High,Danger,2026-05-11 00:28:12
22,40,0,Bright,2595,277,High,Warning,2026-05-11 00:29:12
38,69,0,Bright,2774,1812,Medium,Warning,2026-05-11 00:30:12
41,88,1,Dim,419,2880,High,Danger,2026-05-11 00:31:12
43,73,0,Bright,1020,2559,Medium,Warning,2026-05-11 00:32:12
36,55,0,Dark,737,3259,Medium,Warning,2026-05-11 00:33:12
28,71,0,Bright,2815,1736,High,Warning,2026-05-11 00:34:12
44,60,1,Dark,721,2070,Low,Warning,2026-05-11 00:35:12
40,75,1,Bright,352,145,High,Warning,2026-05-11 00:36:12
32,41,1,Bright,2769,2361,Medium,Warning,2026-05-11 00:37:12
40,91,0,Dark,2570,866,Low,Danger,2026-05-11 00:38:12
33,63,0,Bright,1137,2869,High,Warning,2026-05-11 00:39:12
45,66,1,Bright,1205,3307,High,Danger,2026-05-11 00:40:12
38,58,1,Bright,1917,2357,Low,Warning,2026-05-11 00:41:12
43,85,0,Dim,2796,3163,Low,Danger,2026-05-11 00:42:12
45,50,1,Dim,2386,898,High,Danger,2026-05-11 00:43:12
23,47,1,Bright,2811,1488,Low,Warning,2026-05-11 00:44:12
43,89,0,Bright,383,1775,Medium,Warning,2026-05-11 00:45:12
41,54,1,Dim,346,2886,Low,Warning,2026-05-11 00:46:12
32,61,0,Dark,562,653,Medium,Normal,2026-05-11 00:47:12
26,49,1,Dark,1747,3164,High,Danger,2026-05-11 00:48:12
32,62,1,Bright,2942,998,Low,Warning,2026-05-11 00:49:12
34,42,1,Dark,3027,2980,High,Danger,2026-05-11 00:50:12
22,51,1,Bright,883,636,Medium,Normal,2026-05-11 00:51:12
27,77,0,Bright,1863,1295,Medium,Warning,2026-05-11 00:52:12
37,84,1,Dim,239,835,Medium,Warning,2026-05-11 00:53:12
43,43,0,Bright,647,176,High,Normal,2026-05-11 00:54:12
22,37,1,Dark,3227,2845,Low,Danger,2026-05-11 00:55:12
38,62,1,Dark,612,3396,High,Danger,2026-05-11 00:56:12
22,74,1,Dark,525,1086,High,Warning,2026-05-11 00:57:12
34,48,0,Dark,2408,1823,Medium,Warning,2026-05-11 00:58:12
28,60,1,Dark,1522,1538,Medium,Warning,2026-05-11 00:59:12
21,87,0,Bright,2811,3474,High,Danger,2026-05-11 01:00:12
33,49,0,Dim,537,2004,High,Warning,2026-05-11 01:01:12
27,37,0,Bright,948,3175,High,Warning,2026-05-11 01:02:12
44,85,0,Dim,3418,566,Medium,Warning,2026-05-11 01:03:12
44,53,1,Dark,1714,2551,Low,Danger,2026-05-11 01:04:12
34,60,0,Bright,2881,1508,Medium,Warning,2026-05-11 01:05:12
30,50,0,Dark,675,569,High,Normal,2026-05-11 01:06:12
42,45,0,Dim,2010,505,Low,Warning,2026-05-11 01:07:12
44,40,1,Dim,996,2750,Medium,Warning,2026-05-11 01:08:12
29,81,1,Dim,1090,667,High,Warning,2026-05-11 01:09:12
23,89,0,Dark,2949,2815,High,Danger,2026-05-11 01:10:12
30,41,0,Bright,2581,3350,High,Warning,2026-05-11 01:11:12
29,90,1,Dim,1221,2522,Low,Danger,2026-05-11 01:12:12
23,58,0,Dim,1150,3454,Medium,Warning,2026-05-11 01:13:12
34,88,1,Dark,2542,2784,Low,Danger,2026-05-11 01:14:12
23,47,1,Bright,896,577,Medium,Normal,2026-05-11 01:15:12
31,76,1,Dark,1851,2878,Low,Danger,2026-05-11 01:16:12
21,85,0,Dark,1668,2041,High,Danger,2026-05-11 01:17:12
22,56,1,Dark,1889,419,High,Warning,2026-05-11 01:18:12
42,50,1,Bright,456,603,Low,Normal,2026-05-11 01:19:12
23,46,0,Bright,530,2127,High,Normal,2026-05-11 01:20:12
35,83,0,Dark,1495,1092,Medium,Warning,2026-05-11 01:21:12
26,63,1,Bright,2980,1184,Low,Warning,2026-05-11 01:22:12
37,47,0,Bright,3244,1921,Medium,Warning,2026-05-11 01:23:12
22,82,1,Bright,527,2026,Low,Warning,2026-05-11 01:24:12
34,55,1,Bright,990,3105,Medium,Warning,2026-05-11 01:25:12
43,68,0,Dim,2433,2639,Low,Danger,2026-05-11 01:26:12
33,84,0,Dark,2288,2215,Medium,Danger,2026-05-11 01:27:12
27,79,0,Bright,3339,3024,Low,Warning,2026-05-11 01:28:12
33,34,1,Dark,3273,438,Low,Warning,2026-05-11 01:29:12
45,38,1,Bright,1054,411,Medium,Warning,2026-05-11 01:30:12
44,90,0,Bright,975,2367,Medium,Warning,2026-05-11 01:31:12
44,56,0,Bright,2937,2238,Low,Warning,2026-05-11 01:32:12
26,78,1,Bright,916,848,Low,Warning,2026-05-11 01:33:12
42,32,0,Bright,377,795,High,Warning,2026-05-11 01:34:12
30,32,0,Bright,1703,3015,High,Warning,2026-05-11 01:35:12
35,91,1,Bright,3319,1280,Low,Danger,2026-05-11 01:36:12
40,76,1,Bright,1626,1631,High,Danger,2026-05-11 01:37:12
41,60,1,Bright,880,2319,High,Warning,2026-05-11 01:38:12
44,68,0,Dim,3466,3194,High,Danger,2026-05-11 01:39:12
26,78,0,Dark,3385,463,Low,Warning,2026-05-11 01:40:12
43,76,1,Dark,682,2129,Medium,Warning,2026-05-11 01:41:12
25,72,0,Dark,1324,1102,Low,Warning,2026-05-11 01:42:12
38,71,0,Dark,2352,3182,Low,Danger,2026-05-11 01:43:12
34,34,0,Dim,981,2243,Low,Warning,2026-05-11 01:44:12
36,74,1,Dim,289,386,Medium,Normal,2026-05-11 01:45:12
27,30,0,Bright,2182,1162,High,Warning,2026-05-11 01:46:12
31,56,1,Dark,2152,2142,High,Danger,2026-05-11 01:47:12
34,85,1,Dark,369,2674,Low,Danger,2026-05-11 01:48:12
20,74,1,Bright,823,1154,High,Warning,2026-05-11 01:49:12
21,72,0,Bright,950,3071,Low,Warning,2026-05-11 01:50:12
25,72,1,Bright,2612,1839,Medium,Warning,2026-05-11 01:51:12
22,39,1,Dim,773,3278,Medium,Warning,2026-05-11 01:52:12
21,62,1,Dark,262,2462,Low,Warning,2026-05-11 01:53:12
31,59,1,Bright,3229,983,Medium,Warning,2026-05-11 01:54:12
20,33,0,Dim,2909,474,High,Warning,2026-05-11 01:55:12
30,77,0,Dim,2770,2227,Medium,Warning,2026-05-11 01:56:12
40,38,0,Dim,187,2708,High,Warning,2026-05-11 01:57:12
35,92,0,Dim,2288,2894,High,Danger,2026-05-11 01:58:12
34,94,1,Dark,1155,1043,Medium,Warning,2026-05-11 01:59:12
30,74,0,Bright,2696,2267,Medium,Warning,2026-05-11 02:00:12
25,40,0,Dim,687,565,High,Normal,2026-05-11 02:01:12
41,35,0,Dark,2003,1241,High,Danger,2026-05-11 02:02:12
34,34,1,Bright,2464,1756,Medium,Warning,2026-05-11 02:03:12
43,30,1,Dark,2248,674,High,Danger,2026-05-11 02:04:12
40,35,0,Dim,3161,2068,Medium,Warning,2026-05-11 02:05:12
40,51,0,Dark,2613,1067,Medium,Warning,2026-05-11 02:06:12
28,42,1,Bright,1929,1388,Low,Warning,2026-05-11 02:07:12
24,80,0,Dark,941,2398,Medium,Warning,2026-05-11 02:08:12
32,48,1,Dim,3478,782,Low,Warning,2026-05-11 02:09:12
38,65,1,Dim,2165,1693,High,Danger,2026-05-11 02:10:12
40,91,1,Dark,2626,962,Medium,Danger,2026-05-11 02:11:12
20,68,1,Dim,956,3007,Medium,Warning,2026-05-11 02:12:12
29,78,1,Dim,239,1585,Low,Warning,2026-05-11 02:13:12
